"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"ALB","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:51","71","74","84","69","1.8","0","50","75.1"
"2024-08-01","01:51","70","72","90","69","1.8","0","25","73.1"
"2024-08-01","02:51","70.1","72","90","69","2.2","0","25","73.1"
"2024-08-01","03:51","68","70","90","67","1.8","0","50","70.9"
"2024-08-01","04:51","67.5","69","93","67","1.8","0","25","70"
"2024-08-01","05:51","68.7","71","87","67","3.8","0","25","71.9"
"2024-08-01","06:51","75.4","72","87","68","3.1","143","25","73"
"2024-08-01","07:51","79.4","76","79","69","2.7","322","25","77"
"2024-08-01","08:51","79.3","80","69","69","7.6","459","50","82.9"
"2024-08-01","09:51","82.1","82","67","70","5.8","637","25","85.8"
"2024-08-01","10:51","82.2","83","65","70","7.2","704","50","87.1"
"2024-08-01","11:51","82.6","86","51","66","6.3","776","50","88.3"
"2024-08-01","12:51","83.9","88","48","66","6.3","861","25","90.4"
"2024-08-01","13:51","83.1","88","45","64","6.3","845","25","89.3"
"2024-08-01","14:51","84.3","91","42","65","7.2","784","25","93.1"
"2024-08-01","15:51","84.3","92","41","65","6.7","637","50","94.2"
"2024-08-01","16:51","82.6","91","41","64","7.6","544","25","92.5"
"2024-08-01","17:51","80.3","91","37","61","7.6","382","25","91.1"
"2024-08-01","18:51","78.7","89","41","62","4.9","205","25","89.4"
"2024-08-01","19:51","73.9","84","49","63","3.1","24","50","85"
"2024-08-01","20:51","72.4","81","56","64","1.8","0","87","82.5"
"2024-08-01","21:51","70.8","77","66","65","2.2","0","50","77.5"
"2024-08-01","22:51","69.8","76","66","64","1.8","0","25","76.4"
"2024-08-01","23:51","69.7","75","71","65","1.8","0","25","75.5"
"2024-08-02","00:51","68.6","73","76","65","1.8","0","25","73.6"
"2024-08-02","01:51","68.2","73","73","64","1.8","0","87","73.5"
"2024-08-02","02:51","68.2","73","73","64","1.8","0","25","73.5"
"2024-08-02","03:51","67.1","71","79","64","1.8","0","25","71.5"
"2024-08-02","04:51","67.1","70","84","65","2.2","0","50","70.7"
"2024-08-02","05:51","66.5","69","87","65","1.8","0","50","69.7"
"2024-08-02","06:51","73.8","72","81","66","1.8","75","87","72.7"
"2024-08-02","07:51","75.1","75","76","67","1.8","171","87","75.8"
"2024-08-02","08:51","77.5","77","71","67","1.8","262","87","77.8"
"2024-08-02","09:51","80.7","80","67","68","1.8","341","87","82.6"
"2024-08-02","10:51","77.6","81","65","68","2.7","189","100","83.8"
"2024-08-02","11:51","78.4","82","63","68","2.7","208","100","84.9"
"2024-08-02","12:51","79.1","83","61","68","2.7","216","100","86.1"
"2024-08-02","13:51","87","87","57","70","1.8","452","87","91.9"
"2024-08-02","14:51","81.2","85","57","68","5.8","420","87","88.3"
"2024-08-02","15:23","79.7","83","63","69","8.5","393","87","86.6"
"2024-08-02","15:51","77.9","78","76","70","6.7","364","87","80.2"
"2024-08-02","16:02","75.4","76","85","71","5.4","165","100","77.3"
"2024-08-02","16:19","74.9","75","87","71","4.7","156","100","76.3"
"2024-08-02","16:51","75.6","76","82","70","1.8","136","100","77.1"
"2024-08-02","17:31","74.8","76","82","70","2.2","110","100","77.1"
"2024-08-02","17:51","75.7","77","82","71","1.8","95","100","78.2"
"2024-08-02","18:51","74.5","77","82","71","3.8","51","100","78.2"
"2024-08-02","19:51","73.7","76","87","72","2.2","6","100","77.4"
"2024-08-02","20:51","73.6","76","87","72","1.8","0","100","77.4"
"2024-08-02","21:31","73.7","76","87","72","6.9","0","100","77.4"
"2024-08-02","21:38","72.2","74","90","71","4.7","0","100","75.3"
"2024-08-02","21:46","73.1","75.2","89","71.6","3.8","0","100","76.6"
"2024-08-02","21:49","73","75.2","89","71.6","3.1","0","100","76.6"
"2024-08-02","21:51","72.6","75","87","71","3.1","0","100","76.3"
"2024-08-02","22:03","72.5","74","93","72","1.8","0","100","75.5"
"2024-08-02","22:51","72","74","90","71","1.8","0","100","75.3"
"2024-08-02","22:59","72","74","90","71","1.8","0","100","75.3"
"2024-08-02","23:12","73.1","75","90","72","2.2","0","100","76.4"
"2024-08-02","23:21","73.1","75","90","72","3.1","0","100","76.4"
"2024-08-02","23:51","73.1","75","90","72","1.8","0","100","76.4"
"2024-08-03","00:51","72.1","74","90","71","2.2","0","100","75.3"
"2024-08-03","01:31","72.5","74","93","72","1.8","0","100","75.5"
"2024-08-03","01:51","72.7","74","93","72","3.8","0","100","75.5"
"2024-08-03","01:56","72.1","73","97","72","2.2","0","100","74.5"
"2024-08-03","02:08","71.6","73","93","71","2.2","0","100","74.4"
"2024-08-03","02:51","72.1","74","90","71","2.2","0","100","75.3"
"2024-08-03","03:35","71.6","73","93","71","2.2","0","100","74.4"
"2024-08-03","03:51","72","74","90","71","1.8","0","100","75.3"
"2024-08-03","04:51","72","74","90","71","1.8","0","100","75.3"
"2024-08-03","05:13","71.6","73","93","71","2.2","0","100","74.4"
"2024-08-03","05:51","71.5","73","93","71","1.8","0","100","74.4"
"2024-08-03","06:51","73","74","90","71","2.2","35","100","75.3"
"2024-08-03","07:51","73.9","74","90","71","1.8","80","100","75.3"
"2024-08-03","08:22","74.1","74","90","71","2.2","102","100","75.3"
"2024-08-03","08:24","74.1","74","90","71","2.2","104","100","75.3"
"2024-08-03","08:30","74","74","90","71","3.1","108","100","75.3"
"2024-08-03","08:43","73.9","73","93","71","2.2","117","100","74.4"
"2024-08-03","08:51","74.3","73","93","71","1.8","122","100","74.4"
"2024-08-03","09:12","74.8","74","90","71","2.2","136","100","75.3"
"2024-08-03","09:43","73.9","73","93","71","4.7","155","100","74.4"
"2024-08-03","09:51","74.6","74","90","71","3.8","159","100","75.3"
"2024-08-03","10:19","75.1","74","90","71","3.1","174","100","75.3"
"2024-08-03","10:47","75.2","73.4","94","71.6","3.4","187","100","74.9"
"2024-08-03","10:51","75.5","74","90","71","2.7","189","100","75.3"
"2024-08-03","11:05","75.3","75","87","71","4.9","194","100","76.3"
"2024-08-03","11:43","80.8","76","87","72","2.7","439","87","77.4"
"2024-08-03","11:51","79.7","77","85","72","4.9","443","87","78.4"
"2024-08-03","12:51","83.5","81","74","72","2.7","460","87","85.4"
"2024-08-03","13:51","82.4","83","63","69","3.4","451","87","86.6"
"2024-08-03","14:51","84","86","57","69","2.7","418","87","90.1"
"2024-08-03","15:51","81.8","84","59","68","2.7","363","87","87.2"
"2024-08-03","16:51","80.7","84","59","68","2.7","289","87","87.2"
"2024-08-03","17:51","77.3","83","63","69","3.1","95","100","86.6"
"2024-08-03","18:51","76.1","82","65","69","2.2","50","100","85.4"
"2024-08-03","19:51","74.7","81","67","69","1.8","5","100","84.1"
"2024-08-03","20:51","74.1","79","74","70","2.2","0","100","81.7"
"2024-08-03","21:51","74.6","79","77","71","3.1","0","100","81.9"
"2024-08-03","22:51","74.1","78","79","71","3.1","0","100","80.3"
"2024-08-03","23:51","74.2","78","79","71","3.8","0","100","80.3"
"2024-08-04","00:51","74.2","77","85","72","4.7","0","87","78.4"
"2024-08-04","01:51","73.6","76","87","72","2.2","0","87","77.4"
