"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"ART","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:56","70.2","72","90","69","3.8","0","5","73.1"
"2024-08-01","01:56","70.6","72","93","70","2.2","0","5","73.3"
"2024-08-01","02:56","70.6","72","93","70","3.1","0","5","73.3"
"2024-08-01","03:56","70","71","97","70","2.2","0","5","72.3"
"2024-08-01","04:56","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-01","05:56","69.1","70","97","69","3.8","0","25","71.2"
"2024-08-01","05:58","69.1","70","97","69","3.8","0","50","71.2"
"2024-08-01","06:09","69.2","70","97","69","4.7","1","87","71.2"
"2024-08-01","06:20","69.4","70","97","69","3.1","17","87","71.2"
"2024-08-01","06:27","69.6","70","97","69","2.2","28","87","71.2"
"2024-08-01","06:36","75","70","97","69","2.2","73","50","71.2"
"2024-08-01","06:56","76.5","71","97","70","2.2","138","5","72.3"
"2024-08-01","07:56","78.7","74","93","72","4.3","314","5","75.5"
"2024-08-01","08:56","79.5","76","85","71","4.9","478","25","77.3"
"2024-08-01","09:56","81.2","78","79","71","4.3","584","50","80.3"
"2024-08-01","10:17","78.9","79","77","71","5.8","359","87","81.9"
"2024-08-01","10:25","81.5","79","77","71","4.9","640","50","81.9"
"2024-08-01","10:56","81.6","80","77","72","8.1","745","5","83.8"
"2024-08-01","11:56","84.4","81","72","71","3.6","823","5","84.9"
"2024-08-01","12:56","83.7","83","69","72","7.2","857","5","88.3"
"2024-08-01","13:56","83.2","83","65","70","6.3","845","5","87.1"
"2024-08-01","14:56","83.5","83","69","72","7.2","787","5","88.3"
"2024-08-01","15:56","82.6","82","72","72","7.2","688","5","86.8"
"2024-08-01","16:56","81.9","82","69","71","5.8","555","5","86.3"
"2024-08-01","17:56","80.6","81","72","71","4.9","396","5","84.9"
"2024-08-01","18:56","80.6","81","72","71","1.8","222","5","84.9"
"2024-08-01","19:56","75","78","79","71","2.2","45","5","80.3"
"2024-08-01","20:56","71","73","90","70","1.8","0","5","74.2"
"2024-08-01","21:56","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-01","22:56","67.5","69","93","67","1.8","0","5","70"
"2024-08-01","23:56","66.9","68","97","67","1.8","0","5","69"
"2024-08-02","00:56","66.4","68","93","66","1.8","0","5","68.9"
"2024-08-02","01:26","65.4","67","93","65","1.8","0","5","67.8"
"2024-08-02","01:56","64.9","66","97","65","2.2","0","5","66.8"
"2024-08-02","02:56","65.4","67","93","65","1.8","0","5","67.8"
"2024-08-02","03:56","64.9","66","97","65","2.2","0","5","66.8"
"2024-08-02","04:56","64.4","66","93","64","1.8","0","5","66.7"
"2024-08-02","05:56","63.8","65","97","64","1.8","0","5","65.7"
"2024-08-02","06:56","73.9","68","93","66","1.8","135","5","68.9"
"2024-08-02","07:56","77.1","70","90","67","1.8","312","5","70.9"
"2024-08-02","08:56","80.8","73","87","69","1.8","479","5","74.1"
"2024-08-02","09:56","82.7","80","67","68","2.7","626","5","82.6"
"2024-08-02","10:56","84.7","83","61","68","2.7","743","5","86.1"
"2024-08-02","11:56","88.7","86","55","68","1.8","821","5","89.4"
"2024-08-02","12:56","86.7","85","59","69","2.7","855","5","88.9"
"2024-08-02","13:56","86.7","85","59","69","2.7","843","5","88.9"
"2024-08-02","14:56","85.7","85","61","70","3.6","785","5","89.5"
"2024-08-02","15:56","85.1","85","61","70","3.6","686","5","89.5"
"2024-08-02","16:56","85.4","83","72","73","2.7","552","5","88.9"
"2024-08-02","17:56","82.4","83","67","71","3.4","393","5","87.6"
"2024-08-02","18:56","81.5","82","72","72","1.8","218","5","86.8"
"2024-08-02","19:56","77.9","81","79","74","2.2","41","5","86.3"
"2024-08-02","20:56","71.6","75","82","69","2.2","0","50","76"
"2024-08-02","21:56","70.5","73","87","69","1.8","0","5","74.1"
"2024-08-02","22:56","70.5","73","87","69","1.8","0","5","74.1"
"2024-08-02","23:56","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-03","00:56","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-03","01:56","68.5","70","93","68","1.8","0","5","71.1"
"2024-08-03","02:56","69","71","90","68","1.8","0","5","72"
"2024-08-03","03:56","67.9","69","97","68","1.8","0","5","70.1"
"2024-08-03","04:56","67.5","69","93","67","1.8","0","5","70"
"2024-08-03","05:56","67","69","90","66","2.2","0","5","69.8"
"2024-08-03","06:56","75.4","70","90","67","1.8","132","5","70.9"
"2024-08-03","07:56","76.9","72","87","68","2.7","309","5","73"
"2024-08-03","08:56","79.4","75","82","69","3.4","477","5","76"
"2024-08-03","09:56","80.2","78","76","70","5.8","624","5","80.2"
"2024-08-03","10:56","81.4","79","79","72","7.2","736","25","82.1"
"2024-08-03","11:45","80.4","80","77","72","6.7","430","87","83.8"
"2024-08-03","11:56","80.1","80","77","72","7.6","436","87","83.8"
"2024-08-03","12:56","83","80","79","73","6.3","792","50","84.1"
"2024-08-03","13:56","82.6","80","79","73","7.2","781","50","84.1"
"2024-08-03","14:56","82","79","79","72","6.3","783","5","82.1"
"2024-08-03","15:56","81.1","79","79","72","7.2","683","5","82.1"
"2024-08-03","16:56","80.8","79","77","71","4.9","549","5","81.9"
"2024-08-03","17:56","80.1","79","79","72","4.9","390","5","82.1"
"2024-08-03","18:56","78","78","82","72","4.3","215","5","80.3"
"2024-08-03","19:56","74.8","77","85","72","3.1","38","5","78.4"
"2024-08-03","20:56","73.1","75","90","72","3.1","0","25","76.4"
"2024-08-03","21:56","72.5","74","93","72","1.8","0","5","75.5"
"2024-08-03","22:56","71.6","73","93","71","2.2","0","5","74.4"
"2024-08-03","23:56","71.6","73","93","71","2.2","0","5","74.4"
"2024-08-04","00:56","70.6","72","93","70","3.1","0","5","73.3"
"2024-08-04","01:56","70.6","72","93","70","2.2","0","5","73.3"
"2024-08-04","02:14","70","71","97","70","2.2","0","87","72.3"
"2024-08-04","02:56","69.6","71","93","69","3.1","0","25","72.2"
"2024-08-04","03:25","69.6","71","93","69","3.1","0","87","72.2"
"2024-08-04","03:32","69.5","71","93","69","2.2","0","50","72.2"
"2024-08-04","03:56","69.5","71","93","69","2.2","0","5","72.2"
"2024-08-04","04:41","69","71","90","68","2.2","0","87","72"
"2024-08-04","04:56","69.1","71","90","68","3.1","0","100","72"
"2024-08-04","05:14","69.6","71","93","69","3.1","0","100","72.2"
"2024-08-04","05:44","69.5","71","93","69","2.2","0","100","72.2"
"2024-08-04","05:56","69.5","71","93","69","2.2","0","100","72.2"
"2024-08-04","06:39","74.5","71","93","69","3.8","73","50","72.2"
"2024-08-04","06:56","74.8","71","93","69","3.8","129","5","72.2"
"2024-08-04","07:56","78.1","74","90","71","4.3","307","5","75.3"
"2024-08-04","08:35","76.8","76","87","72","4.9","223","87","77.4"
"2024-08-04","08:56","75.2","76","87","72","6.3","119","100","77.4"
"2024-08-04","09:43","77.8","78","79","71","6.7","316","87","80.3"
"2024-08-04","09:56","77.7","78","79","71","7.6","331","87","80.3"
"2024-08-04","10:56","77.4","79","79","72","6.7","185","100","82.1"
"2024-08-04","11:56","77","78","82","72","7.6","204","100","80.3"
"2024-08-04","12:56","80.8","81","74","72","7.6","453","87","85.4"
"2024-08-04","13:13","81.3","81","72","71","10.1","791","50","84.9"
"2024-08-04","13:56","82.6","82","72","72","8.3","779","50","86.8"
"2024-08-04","14:03","80.7","81","74","72","7.6","444","87","85.4"
"2024-08-04","14:56","81.4","82","74","73","7.6","416","87","87.4"
"2024-08-04","15:09","82.8","82","74","73","8.3","708","50","87.4"
"2024-08-04","15:36","82.8","82","74","73","8.3","718","5","87.4"
"2024-08-04","15:48","82.6","81","77","73","6.7","647","50","85.8"
"2024-08-04","15:56","80.9","82","74","73","7.6","363","87","87.4"
"2024-08-04","16:08","81.1","81","77","73","4.9","350","87","85.8"
"2024-08-04","16:39","82.2","82","74","73","7.6","546","50","87.4"
"2024-08-04","16:56","80.5","81","74","72","10.7","547","5","85.4"
"2024-08-04","17:56","79.2","81","69","70","7.6","387","5","84.5"
"2024-08-04","18:56","76.3","79","71","69","7.6","212","5","81.5"
"2024-08-04","19:56","72.7","77","74","68","6.9","34","5","77.9"
