"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"BGM","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-02","22:58","68.5","69.8","94","68","3.1","0","100","70.9"
"2024-08-03","13:53","75","73","90","70","2.7","214","100","74.2"
"2024-08-03","14:53","80.5","76","76","68","1.8","425","87","76.9"
"2024-08-03","15:53","77.6","77","71","67","3.4","372","87","77.8"
"2024-08-03","16:53","76.4","74","84","69","2.7","299","87","75.1"
"2024-08-03","17:53","73.3","73","90","70","1.8","99","100","74.2"
"2024-08-03","18:53","75.3","74","84","69","2.7","218","5","75.1"
"2024-08-03","19:53","71.3","72","93","70","1.8","36","5","73.3"
"2024-08-03","20:53","70.5","72","93","70","1.8","0","5","73.3"
"2024-08-03","21:40","70.5","71","100","71","2.2","0","50","72.5"
"2024-08-03","21:49","71.1","71.6","100","71.6","1.8","0","87","73.2"
"2024-08-03","21:53","70.5","71","100","71","1.8","0","87","72.5"
"2024-08-03","22:14","70.5","71","100","71","1.8","0","87","72.5"
"2024-08-03","22:26","70.5","71","100","71","2.2","0","87","72.5"
"2024-08-03","22:44","70.5","71","100","71","2.2","0","100","72.5"
"2024-08-03","22:53","70.5","71","100","71","2.2","0","100","72.5"
"2024-08-03","23:08","70.1","71","97","70","3.1","0","100","72.3"
"2024-08-03","23:18","70","71","97","70","2.2","0","100","72.3"
"2024-08-03","23:29","69.5","70","100","70","2.2","0","100","71.4"
"2024-08-03","23:53","69.6","70","100","70","3.1","0","100","71.4"
"2024-08-04","00:09","69.5","70","100","70","2.2","0","100","71.4"
"2024-08-04","00:16","69.4","70","100","70","1.8","0","100","71.4"
"2024-08-04","00:47","68.6","69.8","94","68","6.3","0","100","70.9"
"2024-08-04","00:53","67.6","68","100","68","6.3","0","100","69.2"
"2024-08-04","01:04","66.6","67","100","67","6.3","0","100","68.1"
"2024-08-04","01:08","66.6","67","100","67","5.4","0","100","68.1"
"2024-08-04","01:13","66.7","67","100","67","6.9","0","100","68.1"
"2024-08-04","01:23","66.4","67","100","67","1.8","0","100","68.1"
"2024-08-04","01:53","66.5","67","100","67","3.1","0","100","68.1"
"2024-08-04","02:29","66.4","67","100","67","2.2","0","50","68.1"
"2024-08-04","02:32","66.4","67","100","67","1.8","0","87","68.1"
"2024-08-04","02:39","66.4","67","100","67","1.8","0","50","68.1"
"2024-08-04","02:53","66.4","67","100","67","1.8","0","25","68.1"
"2024-08-04","03:42","66","67","97","66","3.1","0","50","67.9"
"2024-08-04","03:53","65.9","67","97","66","1.8","0","50","67.9"
"2024-08-04","04:00","66.4","67","100","67","1.8","0","87","68.1"
"2024-08-04","04:04","66.4","67","100","67","2.2","0","87","68.1"
"2024-08-04","04:11","66.4","67","100","67","1.8","0","100","68.1"
"2024-08-04","04:45","66.4","67","100","67","1.8","0","100","68.1"
"2024-08-04","04:53","66.4","67","100","67","1.8","0","100","68.1"
"2024-08-04","05:01","65.9","67","97","66","1.8","0","100","67.9"
"2024-08-04","05:53","65.3","66","100","66","1.8","0","87","67"
"2024-08-04","06:21","65.7","66","100","66","3.8","9","87","67"
"2024-08-04","06:34","65.7","66","100","66","1.8","14","100","67"
"2024-08-04","06:41","69.9","66","100","66","1.8","19","100","67"
"2024-08-04","06:49","67.1","66.2","100","66.2","1.8","25","100","67.2"
"2024-08-04","06:53","67.1","67","97","66","1.8","28","100","67.9"
"2024-08-04","06:56","67","67","97","66","2.2","31","100","67.9"
"2024-08-04","07:04","67.5","67","100","67","1.8","37","100","68.1"
"2024-08-04","07:09","67.5","67","100","67","1.8","40","100","68.1"
"2024-08-04","07:14","67.5","67","100","67","1.8","44","100","68.1"
"2024-08-04","07:53","68.4","68","97","67","3.1","74","100","69"
"2024-08-04","08:07","68.7","68","97","67","2.2","84","100","69"
"2024-08-04","08:29","71.1","69","93","67","4.3","214","87","70"
"2024-08-04","08:41","71.3","69","93","67","4.3","232","87","70"
"2024-08-04","08:53","75.9","70","93","68","3.4","436","50","71.1"
"2024-08-04","09:41","76.8","72","90","69","1.8","316","87","73.1"
"2024-08-04","09:53","78.1","74","84","69","1.8","332","87","75.1"
"2024-08-04","10:00","81.7","74","84","69","1.8","593","50","75.1"
"2024-08-04","10:33","77","75","82","69","4.3","377","87","76"
"2024-08-04","10:38","78.1","75","82","69","2.7","382","87","76"
"2024-08-04","10:53","78.3","76","79","69","3.4","397","87","77"
"2024-08-04","11:53","80.3","78","71","68","5.4","821","25","78.9"
"2024-08-04","12:53","81","81","65","68","7.2","864","5","83.8"
"2024-08-04","13:53","82.5","81","60","66","3.6","847","25","83.1"
"2024-08-04","14:53","80.9","83","55","65","6.3","790","25","84.8"
"2024-08-04","15:53","80.3","81","60","66","5.4","690","25","83.1"
"2024-08-04","16:53","79.7","82","58","66","5.8","555","25","84.2"
"2024-08-04","17:53","78.9","83","55","65","4.9","395","5","84.8"
"2024-08-04","18:53","74.7","79","62","65","6.7","215","5","80.8"
"2024-08-04","19:53","70.9","77","64","64","4.7","32","5","77.4"
