"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"BUF","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:54","71.2","74","84","69","4.7","0","25","75.1"
"2024-08-01","01:54","69.6","73","81","67","2.2","0","5","73.8"
"2024-08-01","02:54","68.7","72","81","66","3.8","0","5","72.7"
"2024-08-01","03:54","67.7","71","81","65","3.8","0","5","71.6"
"2024-08-01","04:54","67.6","71","81","65","2.2","0","5","71.6"
"2024-08-01","05:54","66.6","70","81","64","2.2","0","25","70.5"
"2024-08-01","06:54","72.7","70","84","65","3.1","94","25","70.7"
"2024-08-01","07:54","76.2","74","76","66","3.4","273","25","74.7"
"2024-08-01","08:54","80.9","78","71","68","2.7","445","25","78.9"
"2024-08-01","09:54","83","81","67","69","2.7","560","50","84.1"
"2024-08-01","10:54","83.4","85","59","69","5.4","677","50","88.9"
"2024-08-01","11:54","80","82","65","69","6.7","435","87","85.4"
"2024-08-01","12:54","82.8","85","61","70","4.9","459","87","89.5"
"2024-08-01","13:54","83.5","87","59","71","6.7","458","87","92.7"
"2024-08-01","14:54","85.6","88","57","71","6.3","752","50","93.9"
"2024-08-01","15:54","82.2","86","63","72","9.2","383","87","92.3"
"2024-08-01","16:54","81.6","85","65","72","6.7","314","87","91"
"2024-08-01","17:54","81.1","86","63","72","7.6","230","87","92.3"
"2024-08-01","18:54","79","84","65","71","4.7","137","87","88.9"
"2024-08-01","19:54","77.4","83","67","71","2.2","41","87","87.6"
"2024-08-01","20:54","75.1","80","74","71","3.8","0","87","83.5"
"2024-08-01","21:54","74.6","79","77","71","3.1","0","87","81.9"
"2024-08-01","22:54","74.2","78","79","71","3.8","0","87","80.3"
"2024-08-01","23:54","73.7","77","82","71","3.8","0","50","78.2"
"2024-08-02","00:54","73.2","77","79","70","5.4","0","50","78.1"
"2024-08-02","01:54","72.6","76","82","70","3.1","0","50","77.1"
"2024-08-02","02:54","72.7","76","82","70","3.8","0","50","77.1"
"2024-08-02","03:54","72.6","76","82","70","2.2","0","87","77.1"
"2024-08-02","04:54","72.6","76","82","70","1.8","0","87","77.1"
"2024-08-02","05:26","72.8","76","82","70","10.1","0","100","77.1"
"2024-08-02","05:41","70.8","74","82","68","10.1","0","100","74.9"
"2024-08-02","05:54","69.8","72","87","68","7.6","0","100","73"
"2024-08-02","06:43","70.4","73","84","68","1.8","15","100","74"
"2024-08-02","06:54","71.4","73","84","68","4.7","23","100","74"
"2024-08-02","07:54","72.3","73","90","70","3.1","68","100","74.2"
"2024-08-02","08:54","73.3","73","90","70","2.2","111","100","74.2"
"2024-08-02","09:54","74.5","74","87","70","2.2","150","100","75.2"
"2024-08-02","10:54","74.7","74","87","70","3.4","182","100","75.2"
"2024-08-02","11:09","75.5","75","87","71","4.3","188","100","76.3"
"2024-08-02","11:54","76.2","75","90","72","4.3","204","100","76.4"
"2024-08-02","12:54","73.5","74","82","68","5.8","215","100","74.9"
"2024-08-02","13:54","75.7","75","84","70","3.4","214","100","76.2"
"2024-08-02","14:54","75.3","75","82","69","2.7","202","100","76"
"2024-08-02","15:54","73.9","74","84","69","4.3","179","100","75.1"
"2024-08-02","16:54","75.4","76","79","69","1.8","147","100","77"
"2024-08-02","17:33","73.3","74","87","70","5.4","122","100","75.2"
"2024-08-02","17:54","72.7","74","84","69","5.4","107","100","75.1"
"2024-08-02","18:54","71.3","73","84","68","3.1","63","100","74"
"2024-08-02","19:54","70.5","73","84","68","1.8","18","100","74"
"2024-08-02","20:54","70.1","72","90","69","2.2","0","100","73.1"
"2024-08-02","21:54","70.1","72","90","69","2.2","0","100","73.1"
"2024-08-02","22:54","70.1","72","90","69","3.1","0","100","73.1"
"2024-08-02","23:54","70.1","72","90","69","3.1","0","100","73.1"
"2024-08-03","00:54","70.1","72","90","69","2.2","0","100","73.1"
"2024-08-03","01:54","70.1","72","90","69","2.2","0","100","73.1"
"2024-08-03","02:54","70.1","72","90","69","2.2","0","100","73.1"
"2024-08-03","03:54","70","72","90","69","1.8","0","100","73.1"
"2024-08-03","04:54","69.5","71","93","69","1.8","0","100","72.2"
"2024-08-03","05:54","70","72","90","69","1.8","0","100","73.1"
"2024-08-03","06:54","72","72","90","69","1.8","22","100","73.1"
"2024-08-03","07:54","71.6","72","90","69","1.8","67","100","73.1"
"2024-08-03","08:54","73.1","73","87","69","1.8","111","100","74.1"
