"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"ELM","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:53","64.5","67","87","63","1.8","0","5","67.5"
"2024-08-01","01:53","63.4","65","93","63","1.8","0","5","65.6"
"2024-08-01","02:27","60.7","62","97","61","1.8","0","5","62.4"
"2024-08-01","02:53","62.8","64","97","63","1.8","0","25","64.6"
"2024-08-01","03:05","61.8","63","97","62","2.2","0","25","63.5"
"2024-08-01","03:19","61.8","63","97","62","1.8","0","5","63.5"
"2024-08-01","03:29","62.8","64","97","63","1.8","0","5","64.6"
"2024-08-01","03:53","61.3","63","93","61","1.8","0","5","63.4"
"2024-08-01","04:53","60.8","62","97","61","1.8","0","5","62.4"
"2024-08-01","05:03","60.3","62","93","60","1.8","0","5","62.3"
"2024-08-01","05:15","59.3","61","93","59","1.8","0","5","61.2"
"2024-08-01","05:33","60.3","62","93","60","1.8","0","5","62.3"
"2024-08-01","05:41","59.7","61","97","60","1.8","0","5","61.3"
"2024-08-01","05:43","59.3","61","93","59","1.8","0","5","61.2"
"2024-08-01","05:57","60.7","62","97","61","1.8","0","50","62.4"
"2024-08-01","05:59","60.7","62","97","61","1.8","0","50","62.4"
"2024-08-01","06:08","60.7","62","97","61","1.8","0","50","62.4"
"2024-08-01","06:17","60.8","62","97","61","1.8","2","25","62.4"
"2024-08-01","06:24","59.3","60","96","59","1.8","22","25","60.2"
"2024-08-01","06:33","61","61","97","60","2.2","49","5","61.3"
"2024-08-01","06:42","66.8","62","93","60","2.2","71","50","62.3"
"2024-08-01","06:53","70","65","93","63","2.2","102","50","65.6"
"2024-08-01","07:53","75","68","90","65","1.8","292","5","68.7"
"2024-08-01","08:53","80.4","74","79","67","1.8","466","5","74.8"
"2024-08-01","09:53","83.6","78","71","68","1.8","620","5","78.9"
"2024-08-01","10:53","84.5","83","65","70","3.6","744","5","87.1"
"2024-08-01","11:53","85","86","61","71","6.3","829","5","91.5"
"2024-08-01","12:53","88.2","89","50","68","2.7","863","25","92.8"
"2024-08-01","13:53","89.8","92","47","69","2.7","800","50","97.1"
"2024-08-01","14:53","85.8","89","55","71","3.4","430","87","95.2"
"2024-08-01","15:53","86.8","91","50","70","5.4","705","25","96.7"
"2024-08-01","16:53","84.9","88","55","70","1.8","307","87","93.1"
"2024-08-01","17:07","85","89","54","70","1.8","288","87","94.3"
"2024-08-01","17:53","84.2","88","59","72","5.8","414","5","94.8"
"2024-08-01","18:53","79.6","85","57","68","4.9","236","5","88.3"
"2024-08-01","19:53","76.2","81","69","70","2.2","53","5","84.5"
"2024-08-01","20:53","73.1","78","74","69","1.8","0","5","79"
"2024-08-01","21:53","72.1","76","79","69","1.8","0","5","77"
"2024-08-01","22:53","71","74","84","69","1.8","0","5","75.1"
"2024-08-01","23:53","70","73","84","68","1.8","0","5","74"
"2024-08-02","00:53","71","73","90","70","1.8","0","87","74.2"
"2024-08-02","01:53","68.5","70","93","68","1.8","0","5","71.1"
"2024-08-02","02:53","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-02","03:53","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-02","04:16","69","70","97","69","2.2","0","87","71.2"
"2024-08-02","04:53","68.6","70","93","68","3.1","0","5","71.1"
"2024-08-02","05:14","69.1","71","90","68","3.8","0","50","72"
"2024-08-02","05:53","68","69","97","68","2.2","0","5","70.1"
"2024-08-02","06:51","75.4","69.8","94","68","1.8","101","5","70.9"
"2024-08-02","06:53","75.6","70","93","68","1.8","107","5","71.1"
"2024-08-02","07:00","75.8","70","93","68","1.8","128","5","71.1"
"2024-08-02","07:53","79.2","73","87","69","1.8","289","5","74.1"
"2024-08-02","08:53","83.1","77","79","70","1.8","464","5","78.1"
"2024-08-02","09:53","85.3","79","77","71","1.8","618","5","81.9"
"2024-08-02","10:53","82.5","79","77","71","1.8","395","87","81.9"
"2024-08-02","11:53","80","80","77","72","1.8","207","100","83.8"
"2024-08-02","13:53","82.3","81","74","72","4.3","458","87","85.4"
"2024-08-02","14:45","78.9","78","88","74","3.4","204","100","80.5"
"2024-08-02","14:53","77.7","77","90","74","5.8","201","100","78.7"
"2024-08-02","14:56","78.1","77","90","74","4.3","200","100","78.7"
"2024-08-02","15:05","77.6","76","94","74","4.3","197","100","77.7"
"2024-08-02","15:19","77.5","76","94","74","4.3","192","100","77.7"
"2024-08-02","15:22","77.3","76","94","74","4.9","191","100","77.7"
"2024-08-02","15:41","75.8","75","94","73","7.6","183","100","76.6"
"2024-08-02","15:49","74.4","73.4","94","71.6","6.7","179","100","74.9"
"2024-08-02","15:53","76.5","74","93","72","1.8","177","100","75.5"
"2024-08-02","15:59","76","74","93","72","2.2","174","100","75.5"
"2024-08-02","16:04","76.4","74","93","72","1.8","171","100","75.5"
"2024-08-02","16:12","75.8","74","90","71","1.8","167","100","75.3"
"2024-08-02","16:22","76.6","75","90","72","1.8","162","100","76.4"
"2024-08-02","16:36","76.6","76","87","72","2.2","154","100","77.4"
"2024-08-02","16:53","76.4","76","87","72","2.2","143","100","77.4"
"2024-08-02","17:00","76.3","76","87","72","2.2","139","100","77.4"
"2024-08-02","17:53","75.9","77","82","71","1.8","103","100","78.2"
