"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"HPN","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:56","70.1","73","84","68","2.2","0","5","74"
"2024-08-01","01:56","68.6","71","87","67","2.2","0","5","71.9"
"2024-08-01","02:56","70.6","73","87","69","3.1","0","5","74.1"
"2024-08-01","03:56","69","71","90","68","1.8","0","5","72"
"2024-08-01","04:56","70.7","73","87","69","3.8","0","5","74.1"
"2024-08-01","05:56","69.1","71","90","68","3.1","0","5","72"
"2024-08-01","06:56","76.9","74","84","69","3.1","153","5","75.1"
"2024-08-01","07:56","79.3","77","79","70","4.3","337","5","78.1"
"2024-08-01","08:56","81.2","80","72","70","4.9","510","5","83.1"
"2024-08-01","09:56","85.2","83","65","70","2.7","660","5","87.1"
"2024-08-01","10:56","85.6","85","61","70","3.6","776","5","89.5"
"2024-08-01","11:56","89.8","88","52","68","1.8","851","5","91.7"
"2024-08-01","12:56","86.2","90","50","69","6.3","873","25","94.7"
"2024-08-01","13:56","85.7","92","46","68","8.1","798","50","96.3"
"2024-08-01","15:56","86.7","93","44","68","4.9","633","50","97.4"
"2024-08-01","16:56","85.7","92","46","68","4.3","499","50","96.3"
"2024-08-01","17:56","81.4","86","59","70","6.7","341","50","90.7"
"2024-08-01","18:56","79.6","85","61","70","5.8","182","25","89.5"
"2024-08-01","19:56","75.1","81","69","70","1.8","0","25","84.5"
"2024-08-01","20:56","73.6","78","76","70","1.8","0","5","80.2"
"2024-08-01","21:56","72.6","76","82","70","1.8","0","5","77.1"
"2024-08-01","22:56","74.1","77","85","72","1.8","0","5","78.4"
"2024-08-01","23:56","71.5","74","87","70","1.8","0","5","75.2"
"2024-08-02","00:56","72.5","75","87","71","1.8","0","5","76.3"
"2024-08-02","01:56","72.1","74","90","71","2.2","0","5","75.3"
"2024-08-02","02:56","72.1","74","90","71","3.1","0","5","75.3"
"2024-08-02","03:56","72.1","74","90","71","2.2","0","5","75.3"
"2024-08-02","04:56","72","74","90","71","1.8","0","5","75.3"
"2024-08-02","05:56","71.5","73","93","71","1.8","0","5","74.4"
"2024-08-02","06:56","80.3","75","90","72","1.8","151","5","76.4"
"2024-08-02","07:56","84.8","81","74","72","1.8","335","5","85.4"
"2024-08-02","08:56","86.2","84","70","73","2.7","508","5","90.4"
"2024-08-02","09:56","86.4","86","65","73","4.3","658","5","93.1"
"2024-08-02","10:56","90.9","88","59","72","1.8","774","5","94.8"
"2024-08-02","11:56","87.3","89","57","72","5.4","843","25","96.1"
"2024-08-02","12:56","88.6","91","58","74","6.3","815","50","100.7"
"2024-08-02","13:56","86.5","88","63","74","8.1","796","50","96.7"
"2024-08-02","14:56","87","90","59","74","9.2","784","25","99.4"
"2024-08-02","15:56","84.5","88","61","73","4.9","362","87","95.7"
"2024-08-02","16:56","81.8","86","65","73","9.2","285","87","93.1"
"2024-08-02","17:56","81.9","83","74","74","7.6","364","5","89.6"
"2024-08-02","18:56","78.4","81","79","74","5.4","96","87","86.3"
"2024-08-02","19:09","78.9","81","79","74","6.9","140","5","86.3"
"2024-08-02","19:12","78","81","79","74","6.9","70","87","86.3"
"2024-08-02","19:56","75.2","77","90","74","5.4","0","87","78.7"
"2024-08-02","20:03","72.7","75","87","71","6.9","0","87","76.3"
"2024-08-02","20:56","71.6","73","93","71","3.1","0","50","74.4"
"2024-08-02","21:56","72.6","74","93","72","2.2","0","25","75.5"
"2024-08-02","22:56","72.1","73","97","72","2.2","0","25","74.5"
"2024-08-02","23:56","72","73","97","72","1.8","0","50","74.5"
"2024-08-03","00:56","71.5","73","93","71","1.8","0","50","74.4"
"2024-08-03","01:56","72.6","74","93","72","3.1","0","50","75.5"
"2024-08-03","02:56","72.5","74","93","72","1.8","0","50","75.5"
"2024-08-03","03:56","72.6","74","93","72","3.1","0","5","75.5"
"2024-08-03","04:56","72.6","74","93","72","2.2","0","25","75.5"
"2024-08-03","05:56","72.6","74","93","72","2.2","0","87","75.5"
"2024-08-03","06:56","77.6","75","94","73","3.1","79","87","76.6"
"2024-08-03","07:56","78.4","77","90","74","3.4","177","87","78.7"
"2024-08-03","08:56","79","80","77","72","5.8","270","87","83.8"
"2024-08-03","09:56","83.5","82","72","72","4.9","652","25","86.8"
"2024-08-03","10:56","84","85","65","72","8.1","767","25","91"
"2024-08-03","11:56","85.3","87","61","72","7.2","787","50","93.5"
"2024-08-03","12:56","88.1","88","59","72","3.6","813","50","94.8"
"2024-08-03","13:56","85.1","89","55","71","4.9","456","87","95.2"
"2024-08-03","14:56","86.7","89","57","72","2.7","420","87","96.1"
"2024-08-03","15:37","85.3","89","63","75","7.6","382","87","99.2"
"2024-08-03","15:53","83.4","87.8","62","73.4","10.1","364","87","95.9"
"2024-08-03","15:56","83.6","87","65","74","8.5","361","87","95.4"
"2024-08-03","16:05","75.6","78","74","69","23","350","87","79"
"2024-08-03","16:10","74.1","74","84","69","14.5","344","87","75.1"
"2024-08-03","16:49","74.9","72","90","69","3.4","293","87","73.1"
"2024-08-03","16:56","72.5","72","90","69","3.1","133","100","73.1"
"2024-08-03","16:59","72.4","72","90","69","3.1","131","100","73.1"
"2024-08-03","17:16","74.2","72","93","70","4.9","254","87","73.3"
"2024-08-03","17:56","74.7","74","90","71","5.8","193","87","75.3"
"2024-08-03","18:02","75.4","74","93","72","4.3","183","87","75.5"
"2024-08-03","18:25","76.7","74","90","71","3.4","272","25","75.3"
"2024-08-03","18:56","74.6","75","90","72","3.8","95","87","76.4"
"2024-08-03","19:09","74","74","93","72","2.2","73","87","75.5"
"2024-08-03","19:56","72.2","73","97","72","5.4","0","87","74.5"
"2024-08-03","20:20","71.6","73","93","71","3.1","0","87","74.4"
"2024-08-03","20:36","71.6","73","93","71","3.1","0","87","74.4"
"2024-08-03","20:44","71.6","73","93","71","3.1","0","87","74.4"
"2024-08-03","20:56","71.7","73","93","71","3.8","0","87","74.4"
"2024-08-03","21:56","71.1","72","97","71","2.2","0","5","73.4"
"2024-08-03","22:31","71.6","73","93","71","3.1","0","50","74.4"
"2024-08-03","22:56","71.5","73","93","71","1.8","0","87","74.4"
"2024-08-03","23:56","72","73","97","72","1.8","0","87","74.5"
"2024-08-04","01:56","71.6","73","93","71","3.1","0","87","74.4"
"2024-08-04","02:56","71.6","73","93","71","2.2","0","87","74.4"
"2024-08-04","03:56","71","73","90","70","1.8","0","50","74.2"
"2024-08-04","04:56","71","73","90","70","1.8","0","87","74.2"
"2024-08-04","05:56","71","73","90","70","1.8","0","100","74.2"
"2024-08-04","06:09","71","73","90","70","1.8","0","100","74.2"
"2024-08-04","06:56","71.5","72","93","70","2.2","36","100","73.3"
"2024-08-04","07:56","73.2","73","93","71","2.2","83","100","74.4"
"2024-08-04","08:56","76.9","74","90","71","2.7","269","87","75.3"
"2024-08-04","09:53","75.2","73.4","94","71.6","2.2","162","100","74.9"
"2024-08-04","09:56","75.7","74","90","71","1.8","164","100","75.3"
"2024-08-04","10:56","78.8","76","85","71","4.3","411","87","77.3"
"2024-08-04","11:56","77.5","79","77","71","4.9","211","100","81.9"
"2024-08-04","12:56","78.2","79","77","71","3.4","218","100","81.9"
"2024-08-04","13:20","76.4","75","90","72","4.3","218","100","76.4"
"2024-08-04","13:43","81.7","76","90","73","2.7","459","87","77.6"
"2024-08-04","13:56","82.1","77","87","73","2.7","455","87","78.5"
"2024-08-04","14:03","83","78","88","74","2.7","452","87","80.5"
"2024-08-04","14:56","82.4","81","79","74","4.9","419","87","86.3"
"2024-08-04","15:56","81.9","82","77","74","5.8","360","87","88"
"2024-08-04","16:03","81.1","81","77","73","4.9","352","87","85.8"
"2024-08-04","16:29","80","80","79","73","5.8","319","87","84.1"
"2024-08-04","16:45","79.1","79","79","72","4.9","298","87","82.1"
"2024-08-04","16:56","79.1","78","82","72","3.4","282","87","80.3"
"2024-08-04","17:47","75.3","73","93","71","2.7","205","87","74.4"
"2024-08-04","17:56","74.8","73","93","71","3.4","191","87","74.4"
"2024-08-04","18:14","74.7","73","90","70","1.8","162","87","74.2"
"2024-08-04","18:56","71.8","72","90","69","3.1","93","87","73.1"
"2024-08-04","19:56","70.7","73","87","69","3.8","0","87","74.1"
"2024-08-04","20:56","70.6","73","87","69","3.1","0","87","74.1"
"2024-08-04","21:56","71.2","73","90","70","4.7","0","87","74.2"
"2024-08-04","22:56","71.1","73","90","70","3.1","0","5","74.2"
"2024-08-04","23:56","71","73","90","70","1.8","0","5","74.2"
"2024-08-05","00:56","71.2","73","90","70","3.8","0","5","74.2"
"2024-08-05","01:56","70","72","90","69","1.8","0","5","73.1"
"2024-08-05","02:56","69.5","71","93","69","2.2","0","5","72.2"
"2024-08-05","03:56","69.1","70","97","69","3.1","0","25","71.2"
"2024-08-05","04:56","68.6","70","93","68","3.8","0","25","71.1"
"2024-08-05","05:56","68.1","69","97","68","3.1","0","5","70.1"
"2024-08-05","06:56","76","71","93","69","2.2","143","5","72.2"
"2024-08-05","07:04","76.1","73","90","70","4.7","168","5","74.2"
"2024-08-05","07:56","79.4","75","84","70","2.7","328","5","76.2"
"2024-08-05","08:56","81.3","79","67","67","2.7","502","5","81.2"
"2024-08-05","09:56","83.8","82","63","68","2.7","652","5","84.9"
"2024-08-05","10:56","85.4","83","53","64","1.8","769","5","84.4"
"2024-08-05","11:56","86.8","85","49","64","1.8","843","5","86.3"
"2024-08-05","12:56","83.2","85","57","68","6.3","810","50","88.3"
"2024-08-05","13:56","84.1","86","51","66","4.5","845","25","88.3"
"2024-08-05","14:56","83.2","88","48","66","7.2","778","25","90.4"
"2024-08-05","15:56","82.3","86","51","66","5.8","668","25","88.3"
"2024-08-05","16:56","81.3","87","50","66","7.6","523","25","89.3"
"2024-08-05","17:56","80","85","55","67","5.8","353","25","87.8"
"2024-08-05","18:56","77.1","82","60","67","3.8","170","25","84.5"
"2024-08-05","19:56","74.7","80","72","70","3.8","0","5","83.1"
