"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"IAG","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:53","73.7","76","87","72","3.8","0","5","77.4"
"2024-08-01","01:53","72.6","75","87","71","2.2","0","5","76.3"
"2024-08-01","02:53","72.6","75","87","71","2.2","0","5","76.3"
"2024-08-01","03:53","71.1","73","90","70","2.2","0","5","74.2"
"2024-08-01","04:53","71.1","73","90","70","2.2","0","5","74.2"
"2024-08-01","05:53","69.5","71","93","69","1.8","0","5","72.2"
"2024-08-01","06:20","70","72","90","69","1.8","0","5","73.1"
"2024-08-01","06:29","70.4","72","90","69","1.8","19","5","73.1"
"2024-08-01","06:32","70.7","72","90","69","1.8","28","5","73.1"
"2024-08-01","06:40","71.2","72","90","69","1.8","51","5","73.1"
"2024-08-01","06:42","71.3","72","90","69","1.8","57","5","73.1"
"2024-08-01","06:44","76.7","72","90","69","1.8","63","5","73.1"
"2024-08-01","06:51","77.9","73.4","89","69.8","1.8","84","5","74.6"
"2024-08-01","06:53","77.8","73","90","70","1.8","90","5","74.2"
"2024-08-01","07:53","81.8","76","87","72","1.8","269","5","77.4"
"2024-08-01","08:53","83.1","80","74","71","2.7","443","5","83.5"
"2024-08-01","09:53","87.5","84","65","71","1.8","598","5","88.9"
"2024-08-01","10:53","83.3","85","55","67","4.5","719","25","87.8"
"2024-08-01","11:53","87.4","87","55","69","2.7","808","25","91.2"
"2024-08-01","12:53","84.7","87","57","70","7.2","853","25","91.9"
"2024-08-01","13:05","84.5","87","57","70","7.2","801","50","91.9"
"2024-08-01","13:53","83.1","87","57","70","6.7","457","87","91.9"
"2024-08-01","14:53","82.2","88","59","72","4.9","203","100","94.8"
"2024-08-01","15:53","85.5","89","55","71","6.7","669","50","95.2"
"2024-08-01","16:53","83.8","86","63","72","7.6","589","25","92.3"
"2024-08-01","17:53","82.5","86","59","70","5.8","437","5","90.7"
"2024-08-01","18:53","81","85","61","70","4.3","263","5","89.5"
"2024-08-01","19:53","78.9","83","72","73","3.8","83","5","88.9"
"2024-08-01","20:53","76.6","81","77","73","2.2","0","5","85.8"
"2024-08-01","21:53","75.1","79","79","72","2.2","0","5","82.1"
"2024-08-01","22:53","74.7","78","82","72","3.8","0","5","80.3"
"2024-08-01","23:53","75.1","78","85","73","3.1","0","5","80.4"
"2024-08-02","00:53","75.1","78","85","73","1.8","0","5","80.4"
"2024-08-02","01:53","73.1","76","85","71","1.8","0","5","77.3"
"2024-08-02","02:53","72.6","75","87","71","3.1","0","5","76.3"
"2024-08-02","03:53","72.5","75","87","71","1.8","0","5","76.3"
"2024-08-02","04:53","73.1","76","85","71","1.8","0","87","77.3"
"2024-08-02","05:27","72.2","75","84","70","5.4","0","100","76.2"
"2024-08-02","05:42","74.3","77","85","72","11.6","0","100","78.4"
"2024-08-02","05:53","73.7","76","87","72","6.9","0","100","77.4"
"2024-08-02","06:13","73.7","76","87","72","3.8","0","87","77.4"
"2024-08-02","06:53","77.4","75","87","71","3.8","46","87","76.3"
"2024-08-02","07:53","76","75","90","72","3.8","142","87","76.4"
"2024-08-02","08:53","79.5","76","85","71","4.3","409","50","77.3"
"2024-08-02","09:53","77.8","76","87","72","4.9","317","87","77.4"
"2024-08-02","10:53","78.7","76","90","73","5.8","385","87","77.6"
"2024-08-02","11:53","76","76","87","72","7.6","203","100","77.4"
"2024-08-02","12:08","76.3","76","87","72","5.8","207","100","77.4"
"2024-08-02","12:35","77.1","76","87","72","3.4","212","100","77.4"
"2024-08-02","12:42","76.8","76","87","72","4.3","213","100","77.4"
"2024-08-02","12:53","75","75","84","70","5.8","214","100","76.2"
"2024-08-02","13:53","77.1","77","82","71","3.4","214","100","78.2"
"2024-08-02","14:53","75.9","77","74","68","2.7","202","100","77.9"
"2024-08-02","15:53","76.6","78","82","72","8.5","180","100","80.3"
"2024-08-02","16:06","75.2","76","85","71","7.6","173","100","77.3"
"2024-08-02","16:53","74.7","77","76","69","5.4","148","100","78"
"2024-08-02","17:53","75.7","79","71","69","2.2","108","100","81.5"
"2024-08-02","18:53","74.2","78","74","69","3.8","65","100","79"
"2024-08-02","19:53","73","77","76","69","3.8","20","100","78"
"2024-08-02","20:53","71.6","75","82","69","2.2","0","100","76"
"2024-08-02","21:53","71.6","74","87","70","3.1","0","100","75.2"
"2024-08-02","22:53","71.1","74","84","69","3.1","0","100","75.1"
"2024-08-02","23:53","71.6","74","87","70","2.2","0","100","75.2"
"2024-08-03","00:53","71.5","74","87","70","1.8","0","100","75.2"
"2024-08-03","01:53","71.6","74","87","70","2.2","0","100","75.2"
"2024-08-03","02:53","71.5","74","87","70","1.8","0","100","75.2"
"2024-08-03","03:53","71.1","73","90","70","2.2","0","100","74.2"
"2024-08-03","04:53","71","73","90","70","1.8","0","100","74.2"
"2024-08-03","05:53","70","73","84","68","1.8","0","100","74"
"2024-08-03","06:53","74","74","87","70","1.8","21","100","75.2"
"2024-08-03","07:53","73.9","75","87","71","2.2","66","100","76.3"
"2024-08-03","08:53","75","76","85","71","3.1","110","100","77.3"
"2024-08-03","09:53","75.4","76","85","71","3.8","148","100","77.3"
"2024-08-03","10:53","77.8","77","79","70","5.8","384","87","78.1"
"2024-08-03","11:53","79.8","77","79","70","7.2","810","5","78.1"
"2024-08-03","12:53","78.3","76","76","68","8.1","855","5","76.9"
"2024-08-03","13:53","76.1","75","79","68","7.6","455","87","75.9"
"2024-08-03","14:53","78.8","75","82","69","6.3","807","5","76"
"2024-08-03","15:53","79.4","76","76","68","4.5","716","5","76.9"
"2024-08-03","16:53","79.3","79","67","67","4.9","588","5","81.2"
"2024-08-03","17:53","79.2","80","69","69","5.8","431","5","82.9"
"2024-08-03","18:53","77.6","81","65","68","5.8","257","5","83.8"
"2024-08-03","19:53","74.8","79","71","69","4.7","76","5","81.5"
"2024-08-03","20:53","71.2","75","79","68","5.4","0","5","75.9"
"2024-08-03","21:53","70.7","74","82","68","4.7","0","5","74.9"
"2024-08-03","22:53","70.1","73","84","68","3.1","0","5","74"
"2024-08-03","23:53","71.2","74","84","69","3.8","0","50","75.1"
"2024-08-04","00:53","71.2","74","84","69","3.8","0","25","75.1"
"2024-08-04","01:53","70.7","73","87","69","3.8","0","5","74.1"
"2024-08-04","02:53","69.6","72","87","68","2.2","0","5","73"
"2024-08-04","03:53","68.1","70","90","67","3.8","0","5","70.9"
"2024-08-04","04:53","66","68","90","65","1.8","0","5","68.7"
"2024-08-04","05:44","66.1","68","90","65","3.1","0","5","68.7"
"2024-08-04","05:53","66.1","68","90","65","3.1","0","5","68.7"
"2024-08-04","06:00","66","68","90","65","2.2","0","5","68.7"
"2024-08-04","06:53","73.4","68","93","66","1.8","81","5","68.9"
"2024-08-04","07:53","77.1","73","84","68","2.7","262","5","74"
"2024-08-04","08:53","79.5","78","71","68","4.3","436","5","78.9"
"2024-08-04","09:53","79.4","81","60","66","6.7","591","5","83.1"
"2024-08-04","10:53","81.4","83","59","67","6.3","718","5","85.6"
"2024-08-04","11:53","79.4","84","46","61","7.2","808","5","84.3"
"2024-08-04","12:53","78.3","85","40","58","9.2","853","5","84.3"
"2024-08-04","13:53","77.4","83","40","56","7.2","852","5","82.3"
"2024-08-04","14:53","77.3","84","38","56","8.1","805","5","83.1"
"2024-08-04","15:53","78.4","82","44","58","4.5","713","5","81.9"
"2024-08-04","16:53","78.7","85","40","58","4.9","585","5","84.3"
"2024-08-04","17:53","77.2","85","41","59","6.7","428","5","84.6"
"2024-08-04","18:53","75.1","83","46","60","6.7","253","5","83.2"
"2024-08-04","19:53","71.3","79","54","61","4.7","73","5","80.3"
