"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"ISP","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:56","74.2","77","85","72","4.7","0","25","78.4"
"2024-08-01","01:56","72.7","75","87","71","4.7","0","5","76.3"
"2024-08-01","02:56","72.2","74","90","71","4.7","0","5","75.3"
"2024-08-01","03:56","72.2","74","90","71","4.7","0","5","75.3"
"2024-08-01","04:56","71.7","74","87","70","3.8","0","5","75.2"
"2024-08-01","05:56","71","73","90","70","1.8","0","50","74.2"
"2024-08-01","06:56","78.3","75","87","71","3.1","158","25","76.3"
"2024-08-01","07:56","81.3","79","77","71","3.4","342","25","81.9"
"2024-08-01","08:56","82.6","82","67","70","4.3","514","25","85.8"
"2024-08-01","09:56","84.8","84","59","68","2.7","662","25","87.2"
"2024-08-01","10:56","86.9","88","50","67","2.7","776","25","91"
"2024-08-01","11:56","88.2","90","47","67","2.7","849","25","93.3"
"2024-08-01","12:56","87.7","91","45","67","3.6","875","25","94.4"
"2024-08-01","13:56","84.8","89","52","69","8.3","853","25","93.5"
"2024-08-01","14:56","83.7","89","50","68","9.2","733","50","92.8"
"2024-08-01","15:56","83.4","88","52","68","7.6","673","25","91.7"
"2024-08-01","16:56","82","87","55","69","10.1","528","25","91.2"
"2024-08-01","17:56","80.4","84","63","70","7.6","357","25","88.3"
"2024-08-01","18:56","79","83","69","72","9.2","174","25","88.3"
"2024-08-01","19:56","75.7","81","72","71","4.7","0","25","84.9"
"2024-08-01","20:56","75.2","80","74","71","4.7","0","50","83.5"
"2024-08-01","21:56","74.6","78","82","72","3.1","0","50","80.3"
"2024-08-01","22:56","74.6","78","82","72","3.1","0","87","80.3"
"2024-08-01","23:56","75.1","78","85","73","3.1","0","87","80.4"
"2024-08-02","00:56","75.6","78","88","74","2.2","0","5","80.5"
"2024-08-02","01:56","74.1","76","90","73","1.8","0","5","77.6"
"2024-08-02","02:56","74.1","76","90","73","1.8","0","5","77.6"
"2024-08-02","03:56","74.1","77","85","72","2.2","0","5","78.4"
"2024-08-02","04:56","74.7","76","94","74","3.1","0","5","77.7"
"2024-08-02","05:56","74.6","76","94","74","2.2","0","87","77.7"
"2024-08-02","06:56","79.8","77","94","75","2.2","84","87","78.8"
"2024-08-02","07:56","83.1","80","85","75","4.3","318","50","84.9"
"2024-08-02","08:56","83.3","84","74","75","3.4","274","87","92"
"2024-08-02","09:56","85.2","86","72","76","4.3","354","87","96"
"2024-08-02","10:56","85.6","87","70","76","5.8","415","87","97.5"
"2024-08-02","11:56","86.2","88","68","76","6.7","454","87","99"
"2024-08-02","12:56","85.2","87","68","75","7.6","469","87","96.4"
"2024-08-02","13:56","84.6","87","65","74","7.6","457","87","95.4"
"2024-08-02","14:56","84.7","87","68","75","7.6","420","87","96.4"
"2024-08-02","15:56","83.3","85","75","76","10.1","360","87","94.5"
"2024-08-02","16:56","82.2","82","85","77","7.6","282","87","90.1"
"2024-08-02","17:56","80.8","81","88","77","7.6","190","87","88.3"
"2024-08-02","18:56","79.2","80","91","77","9.2","92","87","86.5"
"2024-08-02","19:56","77.8","79","94","77","7.6","0","100","83.3"
"2024-08-02","20:56","77.8","79","94","77","6.9","0","100","83.3"
"2024-08-02","21:56","77.8","78","100","78","4.7","0","100","80.6"
"2024-08-02","22:56","77.3","78","97","77","6.3","0","100","80.6"
"2024-08-02","23:56","76.8","78","94","76","7.6","0","100","80.5"
"2024-08-03","00:56","76.3","77","97","76","6.3","0","100","78.9"
"2024-08-03","01:10","76.2","77","97","76","3.8","0","87","78.9"
"2024-08-03","01:56","76.2","77","97","76","3.1","0","5","78.9"
"2024-08-03","02:56","75.6","77","94","75","1.8","0","5","78.8"
"2024-08-03","03:56","75.1","76","97","75","2.2","0","5","77.8"
"2024-08-03","04:56","75.1","76","97","75","2.2","0","5","77.8"
"2024-08-03","05:56","75.2","76","97","75","3.8","0","87","77.8"
"2024-08-03","06:38","79.3","76","97","75","5.4","52","87","77.8"
"2024-08-03","06:56","78.7","77","94","75","5.4","82","87","78.8"
"2024-08-03","07:56","78.8","78","91","75","5.8","181","87","80.5"
"2024-08-03","08:56","83.6","82","77","74","4.9","477","50","88"
"2024-08-03","09:56","84","85","67","73","7.6","615","50","91.7"
"2024-08-03","10:56","85.9","85","72","75","6.3","722","50","93.5"
"2024-08-03","11:56","86.4","87","68","75","8.1","791","50","96.4"
"2024-08-03","12:56","85.3","85","72","75","9.2","815","50","93.5"
"2024-08-03","13:56","84.8","85","70","74","9.2","794","50","92.6"
"2024-08-03","14:56","85","85","72","75","9.2","730","50","93.5"
"2024-08-03","15:56","84","85","70","74","9.2","625","50","92.6"
"2024-08-03","16:56","82.5","84","72","74","10.7","489","50","91.1"
"2024-08-03","17:56","80.4","81","85","76","6.7","189","87","87.4"
"2024-08-03","18:06","80.8","82","82","76","5.4","173","87","89.3"
"2024-08-03","18:28","74.4","79","71","69","10.7","64","100","81.5"
"2024-08-03","18:56","74.3","76","85","71","7.6","90","87","77.3"
"2024-08-03","19:19","73.9","75","90","72","6.9","52","87","76.4"
"2024-08-03","19:45","72.8","74","93","72","7.6","4","100","75.5"
"2024-08-03","19:56","72.8","74","93","72","9.2","0","100","75.5"
"2024-08-03","20:01","72.3","73","97","72","9.2","0","100","74.5"
"2024-08-03","20:27","71.2","72","97","71","3.8","0","100","73.4"
"2024-08-03","20:34","71.2","72","97","71","4.7","0","100","73.4"
"2024-08-03","20:56","72.1","73","97","72","2.2","0","100","74.5"
"2024-08-03","21:56","73.7","75","94","73","5.4","0","100","76.6"
"2024-08-03","22:08","74.3","75","97","74","6.3","0","100","76.7"
"2024-08-03","22:56","73.7","75","94","73","5.4","0","87","76.6"
