"Date","Time","WBGT","Air Temp.","Humidity","Dewpoint","Wind","Solar","Clouds","Heat Index"
"JFK","Local","&degF","&degF","%","&degF","mph","watts","%","&degF"
"2024-08-01","00:51","73.2","77","79","70","3.8","0","50","78.1"
"2024-08-01","01:51","73.7","77","82","71","4.7","0","50","78.2"
"2024-08-01","02:51","73.7","76","87","72","3.8","0","25","77.4"
"2024-08-01","03:51","74.2","76","90","73","4.7","0","50","77.6"
"2024-08-01","04:51","73.7","75","94","73","3.8","0","25","76.6"
"2024-08-01","05:51","74.2","76","90","73","3.1","0","50","77.6"
"2024-08-01","06:51","81.1","78","88","74","3.1","134","25","80.5"
"2024-08-01","07:51","84","84","67","72","3.4","319","25","89.6"
"2024-08-01","08:51","85.3","87","61","72","4.9","493","25","93.5"
"2024-08-01","09:51","85.8","88","57","71","4.9","645","25","93.9"
"2024-08-01","10:51","86.6","91","50","70","6.3","764","25","96.7"
"2024-08-01","11:51","86.6","91","52","71","8.3","843","25","97.6"
"2024-08-01","12:51","85.6","92","46","68","9.2","875","25","96.3"
"2024-08-01","13:51","86.2","92","49","70","9.2","804","50","97.9"
"2024-08-01","14:51","86.1","92","50","71","10.7","745","50","98.8"
"2024-08-01","15:51","84.4","88","61","73","12.3","645","50","95.7"
"2024-08-01","16:51","83.7","86","68","74","10.1","512","50","94"
"2024-08-01","17:51","81.4","85","65","72","10.1","355","50","91"
"2024-08-01","18:51","78.8","82","72","72","7.6","184","50","86.8"
"2024-08-01","19:51","75.8","83","63","69","5.4","11","50","86.6"
"2024-08-01","20:51","75.1","80","74","71","2.2","0","50","83.5"
"2024-08-01","21:51","75.6","80","77","72","1.8","0","50","83.8"
"2024-08-01","22:51","77.6","83","72","73","8.5","0","50","88.9"
"2024-08-01","23:51","78.1","86","61","71","6.9","0","50","91.5"
"2024-08-02","00:51","77.6","84","67","72","7.6","0","50","89.6"
"2024-08-02","01:51","76.2","80","79","73","4.7","0","50","84.1"
"2024-08-02","02:51","76.2","80","79","73","5.4","0","50","84.1"
"2024-08-02","03:51","75.2","77","90","74","6.9","0","50","78.7"
"2024-08-02","04:51","74.7","76","94","74","3.1","0","25","77.7"
"2024-08-02","05:51","74.7","76","94","74","4.7","0","50","77.7"
"2024-08-02","06:51","81.5","78","91","75","3.1","123","50","80.5"
"2024-08-02","07:51","81.3","81","82","75","2.2","170","87","86.8"
"2024-08-02","08:51","83.1","84","74","75","3.4","263","87","92"
"2024-08-02","09:51","86.6","87","70","76","6.7","602","50","97.5"
"2024-08-02","10:51","85.4","86","72","76","4.9","409","87","96"
"2024-08-02","11:51","87.1","89","68","77","6.7","451","87","101.7"
"2024-08-02","12:51","86.1","88","68","76","7.6","469","87","99"
"2024-08-02","13:51","85.9","90","61","75","10.1","460","87","100.6"
"2024-08-02","14:51","85.2","89","66","76","13.9","426","87","100.4"
