HPN,41.07,-73.71,89.8,90.9,88.1,83.0
JFK,40.64,-73.78,86.6,87.1,85.6,81.8
ALB,42.75,-73.8,84.3,87.0,84.0,82.4
BGM,42.21,-75.98,68.5,80.5,82.5,83.2
BUF,42.94,-78.73,85.6,76.2,77.2,80.7
ELM,40.2,-76.35,89.8,85.3,86.1,86.3
ITH,42.49,-76.46,87.3,86.8,83.7,83.5
LGA,40.78,-73.87,84.8,85.4,85.6,80.5
ISP,40.8,-73.1,88.2,86.2,86.4,80.7
SWF,41.5,-74.12,85.7,86.3,84.1,83.6
IAG,43.11,-78.95,87.5,79.5,79.8,81.4
OGS,44.68,-75.47,89.7,91.1,87.1,86.7
PBG,44.65,-73.46,87.0,85.4,88.3,83.7
ROC,43.12,-77.67,90.1,79.1,79.7,82.3
SYR,43.11,-76.12,87.4,83.7,83.9,84.6
ART,39.4,-87.16,84.4,88.7,83.0,82.8
